epoch,accuracy,loss,val_accuracy,val_loss,avg_bleu,avg_rouge1,avg_rouge2,avg_rougeL,train_accuracy,validation_accuracy,test_accuracy
0,0.742929101,5.078662872,0.757350564,2.152800798,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
1,0.763083339,2.025751829,0.757350564,2.003255606,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
2,0.763123095,1.836429,0.757630229,1.825825095,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
3,0.763083339,1.71826005,0.757630229,1.754272103,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
4,0.768046975,1.659739256,0.766418993,1.720744729,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
5,0.771842062,1.628682137,0.767417729,1.704098344,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
6,0.772690773,1.608488917,0.768176675,1.691988587,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
7,0.773130417,1.590384364,0.768576205,1.681240797,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
8,0.773380041,1.57192862,0.768815815,1.667048693,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
9,0.773559868,1.55039382,0.7689358,1.652033687,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
10,0.774159074,1.528050065,0.770653605,1.634330511,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
11,0.776546121,1.504319668,0.773689687,1.619490027,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
12,0.77768451,1.481497765,0.774448693,1.603192687,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
13,0.780261278,1.457133651,0.777285099,1.58789444,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
14,0.783916473,1.433088779,0.780560911,1.571713805,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
15,0.786882877,1.407203913,0.783117592,1.555090189,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
16,0.788570642,1.380165815,0.784875333,1.539420605,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
17,0.792225957,1.352445841,0.78819114,1.521916866,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
18,0.797719002,1.322259665,0.792146027,1.50293231,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
19,0.803261817,1.291382909,0.796460569,1.481724024,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
20,0.808075666,1.259935379,0.802293003,1.46375823,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
21,0.812410057,1.22951746,0.805449009,1.449291945,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
22,0.816385031,1.199211955,0.808684886,1.431922317,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
23,0.820409834,1.168868303,0.810882032,1.41563642,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
24,0.823825598,1.139259577,0.812919438,1.399164081,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
25,0.827251196,1.111124635,0.815356314,1.384120107,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
26,0.829518259,1.08176291,0.817034125,1.370476007,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
27,0.831755221,1.054432869,0.819391251,1.364158511,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
28,0.833822668,1.027760506,0.820869267,1.348047853,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
29,0.836509347,0.99988389,0.823026538,1.339025974,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
30,0.839295685,0.973254919,0.824984014,1.326837897,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
31,0.841852367,0.94784534,0.82574296,1.320987105,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
32,0.844319284,0.921743214,0.825383425,1.307226658,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
33,0.846895874,0.896796286,0.827860415,1.300565481,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
34,0.849742353,0.872342288,0.828539491,1.290023088,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
35,0.852259159,0.848222494,0.82798022,1.281468868,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
36,0.855055511,0.823529422,0.830017567,1.276630521,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
37,0.857422471,0.800736904,0.831375778,1.272235751,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
38,0.85978955,0.776810944,0.832614243,1.262216449,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
39,0.862166524,0.754546404,0.832853973,1.254098296,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
40,0.864932775,0.731361926,0.833533049,1.250549436,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
41,0.868278682,0.708269358,0.834332049,1.246016264,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
42,0.870945156,0.686078787,0.835410595,1.238305688,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
43,0.87428081,0.664752066,0.83585012,1.234380126,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
44,0.877237082,0.643118918,0.837727726,1.231213093,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
45,0.88034302,0.622579098,0.83696866,1.225186586,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
46,0.88274008,0.602856874,0.838646472,1.221053839,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
47,0.886595249,0.583065271,0.838846326,1.215997815,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
48,0.889881015,0.563026547,0.840204537,1.213794112,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
49,0.893516302,0.543150485,0.840604007,1.211111665,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
